,지역,번지,본번,부번,아파트,면적,계약년월,계약일,가격,층,건축년도,도로명,비쌈
19388,광주광역시 북구 운암동,252,252,0,주공3,47.33,201910,12,21900,4,1984,북문대로98번길 50,True
19392,광주광역시 북구 운암동,252,252,0,주공3,47.33,201910,18,26500,3,1984,북문대로98번길 50,True
19597,광주광역시 서구 쌍촌동,01월 02일,1,2,진성,48.24,201910,9,21000,4,1984,칠성로 131-1,True
19842,대구광역시 달서구 감삼동,479,479,0,감삼에이원,49.2944,201910,10,23000,16,2019,와룡로 145,True
20527,대구광역시 달성군 다사읍 죽곡리,814,814,0,죽곡청아람5단지,49.9536,201910,1,29600,8,2017,대실역남로 11,True
20874,대구광역시 동구 신천동,1507,1507,0,동대구반도유보라,39.7596,201910,12,25000,8,2018,송라로16길 11,True
20914,대구광역시 동구 신천동,499-1,499,1,코스모스,46.985,201910,31,22000,3,1981,화랑로11길 26,True
21227,대구광역시 북구 칠성동2가,403-15,403,15,금성,42.5,201910,14,23000,2,1981,칠성시장로 87-21,True
21519,대구광역시 수성구 범어동,103-2,103,2,경북(B),46.94,201910,3,30900,5,1980,달구벌대로504길 37,True
21535,대구광역시 수성구 범어동,665-1,665,1,범어아진(665-1),49.89,201910,14,28000,2,1981,동대구로38길 80,True
21536,대구광역시 수성구 범어동,665-1,665,1,범어아진(665-1),49.89,201910,17,28800,2,1981,동대구로38길 80,True
21537,대구광역시 수성구 범어동,665-1,665,1,범어아진(665-1),49.89,201910,26,28500,2,1981,동대구로38길 80,True
21539,대구광역시 수성구 범어동,792-43,792,43,범어역아이위시,47.5197,201910,23,25000,9,2013,동대구로59길 14-19,True
21603,대구광역시 수성구 수성동4가,1090-6,1090,6,수성보성,49.21,201910,3,23600,4,1996,수성로 412,True
21604,대구광역시 수성구 수성동4가,1090-6,1090,6,수성보성,49.21,201910,14,23850,5,1996,수성로 412,True
21605,대구광역시 수성구 수성동4가,1090-6,1090,6,수성보성,49.21,201910,31,23900,3,1996,수성로 412,True
21653,대구광역시 수성구 지산동,1200,1200,0,목련,42.66,201910,4,20700,1,1986,용학로42길 13,True
21654,대구광역시 수성구 지산동,1200,1200,0,목련,42.66,201910,7,20550,5,1986,용학로42길 13,True
21655,대구광역시 수성구 지산동,1200,1200,0,목련,42.66,201910,15,21300,5,1986,용학로42길 13,True
21670,대구광역시 수성구 지산동,1234,1234,0,지산1단지,43.035,201910,21,27500,1,1989,용학로 189,True
24136,대전광역시 중구 중촌동,21,21,0,주공,48.6,201910,30,26000,3,1983,목중로54번길 10,True
24370,부산광역시 금정구 구서동,413-43,413,43,구서백리명가에덴,47.56,201910,1,22403,12,2019,금강로 431,True
24371,부산광역시 금정구 구서동,413-43,413,43,구서백리명가에덴,49.86,201910,7,23020,4,2019,금강로 431,True
24373,부산광역시 금정구 구서동,413-43,413,43,구서백리명가에덴,49.86,201910,16,23456,7,2019,금강로 431,True
24433,부산광역시 금정구 부곡동,244-7,244,7,대우,40.95,201910,12,20900,20,1999,부산대학로 10,True
24510,부산광역시 금정구 장전동,604-12,604,12,윤성리버티,49.7526,201910,21,22800,19,2019,온천장로125번길 28-20,True
24521,부산광역시 금정구 장전동,604-21,604,21,파크아트온,49.03,201910,15,22000,8,2018,식물원로29번길 15,True
24522,부산광역시 금정구 장전동,604-21,604,21,파크아트온,49.03,201910,17,21100,2,2018,식물원로29번길 15,True
24523,부산광역시 금정구 장전동,604-21,604,21,파크아트온,49.03,201910,25,22000,7,2018,식물원로29번길 15,True
24683,부산광역시 남구 대연동,1808,1808,0,대연비치,42.93,201910,11,30000,13,1984,황령대로 504,True
24692,부산광역시 남구 대연동,1808,1808,0,대연비치,42.93,201910,23,45000,9,1984,황령대로 504,True
24698,부산광역시 남구 대연동,1808,1808,0,대연비치,42.93,201910,31,34165,13,1984,황령대로 504,True
24699,부산광역시 남구 대연동,1808,1808,0,대연비치,42.93,201910,31,33765,2,1984,황령대로 504,True
24701,부산광역시 남구 대연동,1808,1808,0,대연비치,42.93,201910,31,33905,7,1984,황령대로 504,True
24927,부산광역시 동구 좌천동,1170,1170,0,좌천서린엘마르더뷰,49.4318,201910,21,20300,13,2018,망양로 850,True
24964,부산광역시 동래구 낙민동,265,265,0,부일스톤캐슬,44.92,201910,2,21100,4,2017,충렬대로255번길 12,True
25154,부산광역시 동래구 온천동,182-7,182,7,KH파인우스,43.7575,201910,10,20590,13,2019,온천장로 75,True
25293,부산광역시 부산진구 범전동,9-151,9,151,동원,49.82,201910,5,38000,3,1982,양성로 28,True
25302,부산광역시 부산진구 범전동,263-5,263,5,서면,34.08,201910,18,26000,1,1974,범전로33번길 62-7,True
25313,부산광역시 부산진구 범천동,854-2,854,2,범내골역 이즈팰리스,44.684,201910,15,20500,13,2017,황령대로18번길 22,True
25344,부산광역시 부산진구 범천동,844-3,844,3,우일아내트,49.9544,201910,7,21000,4,2018,중앙번영로 12-1,True
25396,부산광역시 부산진구 양정동,399-1,399,1,한진스카이뷰,49.77,201910,22,20750,8,2015,46,True
25443,부산광역시 부산진구 전포동,312-31,312,31,스윗팰리스,46.4,201910,4,22190,13,2018,전포대로 204,True
25886,부산광역시 사하구 괴정동,550-7,550,7,괴정동 천아하늘정원 2차,49.54,201910,5,25700,9,2016,장평로449번길 26,True
26164,부산광역시 서구 서대신동1가,May-54,54,5,서대신부백더자연애아파트,39.82,201910,8,20524,6,2019,대영로46번길 7,True
26176,부산광역시 서구 서대신동3가,360-13,360,13,세영엘도라도B동,49.87,201910,19,23000,5,2018,구덕로333번길 17,True
26234,부산광역시 수영구 광안동,744-6,744,6,광안 부백 자연애 아파트,46.07,201910,20,25200,13,2018,수영로575번길 10,True
26266,부산광역시 수영구 광안동,199-2,199,2,에이스 로얄 팰리스,49.3,201910,20,34800,8,2019,광남로 102,True
26271,부산광역시 수영구 광안동,662-1,662,1,힐탑더블시티,49.7385,201910,1,20400,19,2015,수영로 641,True
26274,부산광역시 수영구 남천동,556-3,556,3,뉴비치,41.46,201910,4,27700,12,1986,광안해변로15번길 68,True
26285,부산광역시 수영구 남천동,148-4,148,4,삼익비치,41.52,201910,7,40000,6,1979,광안해변로 100,True
26293,부산광역시 수영구 남천동,148-4,148,4,삼익비치,41.52,201910,12,43000,8,1979,광안해변로 100,True
26296,부산광역시 수영구 남천동,148-4,148,4,삼익비치,41.52,201910,16,37800,8,1979,광안해변로 100,True
26301,부산광역시 수영구 남천동,148-4,148,4,삼익비치,41.52,201910,21,42750,7,1979,광안해변로 100,True
26305,부산광역시 수영구 남천동,148-4,148,4,삼익비치,41.52,201910,26,43000,9,1979,광안해변로 100,True
26307,부산광역시 수영구 남천동,148-22,148,22,삼익타워,43.71,201910,1,29300,3,1977,남천동로 46,True
26308,부산광역시 수영구 남천동,148-22,148,22,삼익타워,43.71,201910,7,31000,1,1977,남천동로 46,True
26313,부산광역시 수영구 남천동,148-22,148,22,삼익타워,43.71,201910,26,30000,1,1977,남천동로 46,True
26445,부산광역시 연제구 연산동,1481-5,1481,5,SC아르피나,45.34,201910,16,21854,8,2019,거제천로124번길 60,True
26497,부산광역시 연제구 연산동,859-2,859,2,시청역 퀸즈W,49.9004,201910,29,21500,7,2016,연제로 7,True
26967,부산광역시 해운대구 좌동,1398,1398,0,엘지,49.83,201910,28,20100,7,1996,대천로103번길 61,True
27005,서울특별시 강남구 개포동,141,141,0,개포주공 1단지,41.98,201910,1,180000,4,1982,개포로 310,True
