,지역,번지,본번,부번,아파트,면적,계약년월,계약일,가격,층,건축년도,도로명,비쌈
27755,서울특별시 강서구 화곡동,899-8,899,8,한울아파트,28.82,201910,8,24200,4,2018,강서로7길 18,True
27850,서울특별시 관악구 봉천동,1500,1500,0,해바라기,49.02,201910,17,43000,5,1978,보라매로6길 33,True
27864,서울특별시 관악구 신림동,746-43,746,43,건영1,41.04,201910,23,31400,11,1984,문성로 74,True
27867,서울특별시 관악구 신림동,746-43,746,43,건영1,41.04,201910,28,33000,4,1984,문성로 74,True
27868,서울특별시 관악구 신림동,721-2,721,2,건영2,43.92,201910,21,26400,1,1988,난곡로35길 28-7,True
27925,서울특별시 관악구 신림동,1694,1694,0,신림현대,34.86,201910,25,31500,8,1993,신림로29길 8,True
28146,서울특별시 구로구 고척동,Mar-97,97,3,삼명,43.74,201910,4,21000,5,1977,경서로1길 14,True
28166,서울특별시 구로구 구로동,1265,1265,0,구로두산,44.64,201910,7,32800,24,1998,도림로 59,True
28167,서울특별시 구로구 구로동,1265,1265,0,구로두산,44.64,201910,10,31500,6,1998,도림로 59,True
28168,서울특별시 구로구 구로동,1265,1265,0,구로두산,44.64,201910,14,31500,4,1998,도림로 59,True
28171,서울특별시 구로구 구로동,1265,1265,0,구로두산,44.64,201910,28,32100,8,1998,도림로 59,True
28172,서울특별시 구로구 구로동,1265,1265,0,구로두산,44.64,201910,31,33000,17,1998,도림로 59,True
28174,서울특별시 구로구 구로동,1278,1278,0,구로두산위브,36.88,201910,9,34000,9,2006,디지털로31길 85,True
28176,서울특별시 구로구 구로동,1278,1278,0,구로두산위브,36.88,201910,25,34900,9,2006,디지털로31길 85,True
